 day,wcl1,wcl2,wcl3,wcl4,wcl5,wcl6,wcl7,wcl8,wcl9,wcl10,liq_water1,liq_water2,liq_water3, liq_water4,liq_water5,liq_water6,liq_water7,liq_water8,liq_water9,liq_water10,ice1,ice2,ice3,ice4, ice5,ice6,ice7,ice8,ice9,ice10,zwt
      1,         0.9530,         0.9475,         0.9481,         0.9485,         0.9487,         0.9500,         0.9500,         0.9501,         0.9501,         0.9501,         0.0953,         0.0947,         0.0948,         0.0948,         0.0949,         0.1900,         0.1900,         0.1900,         0.1900,         0.1900,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,       -48.7420
      2,         0.9530,         0.9476,         0.9482,         0.9485,         0.9487,         0.9500,         0.9501,         0.9501,         0.9501,         0.9501,         0.0953,         0.0948,         0.0948,         0.0949,         0.0949,         0.1900,         0.1900,         0.1900,         0.1900,         0.1900,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,       -49.0302
      3,         0.9530,         0.9477,         0.9482,         0.9485,         0.9487,         0.9500,         0.9501,         0.9501,         0.9501,         0.9501,         0.0953,         0.0948,         0.0948,         0.0949,         0.0949,         0.1900,         0.1900,         0.1900,         0.1900,         0.1900,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,       -49.2287
      4,         0.9525,         0.9477,         0.9482,         0.9485,         0.9487,         0.9500,         0.9501,         0.9501,         0.9501,         0.9501,         0.0953,         0.0948,         0.0948,         0.0949,         0.0949,         0.1900,         0.1900,         0.1900,         0.1900,         0.1900,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,       -49.3957
      5,         0.9516,         0.9477,         0.9483,         0.9486,         0.9487,         0.9500,         0.9501,         0.9501,         0.9501,         0.9501,         0.0952,         0.0948,         0.0948,         0.0949,         0.0949,         0.1900,         0.1900,         0.1900,         0.1900,         0.1900,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,       -49.5802
      6,         0.9508,         0.9478,         0.9483,         0.9486,         0.9487,         0.9500,         0.9501,         0.9501,         0.9501,         0.9501,         0.0951,         0.0948,         0.0948,         0.0949,         0.0949,         0.1900,         0.1900,         0.1900,         0.1900,         0.1900,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,       -49.7458
      7,         0.9498,         0.9478,         0.9483,         0.9486,         0.9487,         0.9500,         0.9501,         0.9501,         0.9501,         0.9501,         0.0950,         0.0948,         0.0948,         0.0949,         0.0949,         0.1900,         0.1900,         0.1900,         0.1900,         0.1900,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,       -49.9128
      8,         0.9486,         0.9477,         0.9482,         0.9485,         0.9487,         0.9500,         0.9501,         0.9501,         0.9501,         0.9501,         0.0949,         0.0948,         0.0948,         0.0949,         0.0949,         0.1900,         0.1900,         0.1900,         0.1900,         0.1900,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,       -50.1936
      9,         0.9476,         0.9476,         0.9482,         0.9485,         0.9487,         0.9500,         0.9501,         0.9501,         0.9501,         0.9501,         0.0948,         0.0948,         0.0948,         0.0949,         0.0949,         0.1900,         0.1900,         0.1900,         0.1900,         0.1900,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,       -50.4289
     10,         0.9467,         0.9477,         0.9482,         0.9486,         0.9487,         0.9500,         0.9501,         0.9501,         0.9501,         0.9501,         0.0947,         0.0948,         0.0948,         0.0949,         0.0949,         0.1900,         0.1900,         0.1900,         0.1900,         0.1900,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,       -50.6337
     11,         0.9458,         0.9477,         0.9483,         0.9486,         0.9487,         0.9500,         0.9501,         0.9501,         0.9501,         0.9501,         0.0946,         0.0948,         0.0948,         0.0949,         0.0949,         0.1900,         0.1900,         0.1900,         0.1900,         0.1900,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,       -50.8013
     12,         0.9447,         0.9476,         0.9482,         0.9485,         0.9487,         0.9500,         0.9500,         0.9501,         0.9501,         0.9501,         0.0945,         0.0948,         0.0948,         0.0949,         0.0949,         0.1900,         0.1900,         0.1900,         0.1900,         0.1900,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,       -51.0097
     13,         0.9438,         0.9477,         0.9482,         0.9485,         0.9487,         0.9500,         0.9501,         0.9501,         0.9501,         0.9501,         0.0944,         0.0948,         0.0948,         0.0949,         0.0949,         0.1900,         0.1900,         0.1900,         0.1900,         0.1900,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,         0.0000,       -51.2512
