 day,CH4emit_d,watertable,swc1,swc2,swc3,stsurf,st1,st2
      1,         0.0091,       -48.8869,         0.0953,         0.0947,         0.0948,        -0.2046,         0.2983,         0.8246
      2,         0.0186,       -49.1634,         0.0953,         0.0948,         0.0948,        -0.2954,         0.2100,         0.7387
      3,         0.0088,       -49.3493,         0.0953,         0.0948,         0.0948,        -0.4475,         0.0842,         0.6229
      4,         0.0112,       -49.5100,         0.0952,         0.0948,         0.0948,        -0.4362,         0.1196,         0.6717
      5,         0.0157,       -49.6983,         0.0951,         0.0948,         0.0948,        -0.3287,         0.2321,         0.7867
      6,         0.0092,       -49.8671,         0.0950,         0.0948,         0.0948,        -0.3779,         0.1712,         0.7163
      7,         0.0094,       -50.0376,         0.0949,         0.0948,         0.0948,        -0.3025,         0.2350,         0.7688
      8,         0.0182,       -50.3275,         0.0948,         0.0948,         0.0948,        -0.3388,         0.1825,         0.7054
      9,         0.0211,       -50.5696,         0.0947,         0.0948,         0.0948,        -0.4312,         0.1042,         0.6321
     10,         0.0096,       -50.7796,         0.0946,         0.0948,         0.0948,        -0.3654,         0.1829,         0.7167
     11,         0.0093,       -50.9505,         0.0945,         0.0948,         0.0948,        -0.2683,         0.2554,         0.7729
     12,         0.0109,       -51.1646,         0.0944,         0.0948,         0.0948,        -0.2504,         0.2529,         0.7587
     13,         0.0117,       -51.4129,         0.0943,         0.0948,         0.0948,        -0.2225,         0.2625,         0.7575
     14,         0.0128,       -51.5662,         0.0942,         0.0948,         0.0948,        -0.2312,         0.2408,         0.7233
     15,         0.0211,       -51.7126,         0.0941,         0.0948,         0.0948,        -0.2713,         0.1812,         0.6513
     16,         0.0106,       -51.9452,         0.0940,         0.0948,         0.0948,        -0.3354,         0.1333,         0.6138
     17,         0.0097,       -52.1765,         0.0939,         0.0948,         0.0948,        -0.2333,         0.2321,         0.7017
     18,         0.0220,       -52.4565,         0.0938,         0.0948,         0.0948,        -0.2867,         0.1637,         0.6250
     19,         0.0116,       -52.7213,         0.0937,         0.0948,         0.0948,        -0.3113,         0.1496,         0.6179
     20,         0.0104,       -52.9801,         0.0936,         0.0947,         0.0948,        -0.3471,         0.1008,         0.5600
     21,         0.0073,       -53.1971,         0.0935,         0.0948,         0.0948,        -0.5250,        -0.0517,         0.4192
     22,         0.0207,       -53.3973,         0.0933,         0.0947,         0.0948,        -0.4496,         0.0229,         0.4921
     23,         0.0078,       -53.6503,         0.0932,         0.0947,         0.0948,        -0.4942,         0.0042,         0.4863
     24,         0.0111,       -53.8986,         0.0931,         0.0948,         0.0948,        -0.2971,         0.1804,         0.6475
     25,         0.0147,       -54.0370,         0.0930,         0.0948,         0.0948,        -0.2662,         0.1917,         0.6467
     26,         0.0154,       -54.1932,         0.0929,         0.0948,         0.0948,        -0.2142,         0.2246,         0.6679
     27,         0.0141,       -54.3613,         0.0928,         0.0948,         0.0948,        -0.1796,         0.2400,         0.6725
     28,         0.0098,       -54.5432,         0.0928,         0.0948,         0.0948,        -0.1763,         0.2304,         0.6500
     29,         0.0140,       -54.6587,         0.0927,         0.0948,         0.0948,        -0.1708,         0.2208,         0.6342
     30,         0.0123,       -54.8083,         0.0926,         0.0948,         0.0948,        -0.2412,         0.1467,         0.5567
     31,         0.0087,       -55.1295,         0.0924,         0.0948,         0.0948,        -0.2779,         0.1154,         0.5217
     32,         0.0255,       -55.4963,         0.0923,         0.0947,         0.0948,        -0.3262,         0.0779,         0.4908
     33,         0.0108,       -55.9425,         0.0921,         0.0947,         0.0948,        -0.4121,         0.0183,         0.4471
     34,         0.0087,       -56.6378,         0.0918,         0.0946,         0.0948,        -0.2992,         0.1483,         0.5842
     35,         0.0123,       -56.9591,         0.0917,         0.0947,         0.0948,        -0.2229,         0.2050,         0.6279
     36,         0.0127,       -57.1232,         0.0915,         0.0947,         0.0948,        -0.1650,         0.2312,         0.6362
     37,         0.0120,       -57.5124,         0.0913,         0.0946,         0.0948,        -0.1617,         0.2146,         0.6021
     38,         0.0102,       -58.0230,         0.0911,         0.0946,         0.0947,        -0.2646,         0.0950,         0.4742
     39,         0.0275,       -58.4998,         0.0908,         0.0946,         0.0947,        -0.3742,         0.0217,         0.4213
     40,         0.0070,       -59.0816,         0.0906,         0.0946,         0.0947,        -0.4188,         0.0021,         0.4150
     41,         0.0153,       -59.5110,         0.0904,         0.0946,         0.0947,        -0.5367,        -0.0846,         0.3475
     42,         0.0090,       -59.8244,         0.0902,         0.0946,         0.0947,        -0.4946,        -0.0167,         0.4271
     43,         0.0120,       -60.1460,         0.0900,         0.0946,         0.0947,        -0.3942,         0.0546,         0.4787
     44,         0.0146,       -51.2013,         0.0953,         0.0946,         0.0947,        -0.2458,         0.1837,         0.5983
     45,         0.0190,        -3.7657,         0.0953,         0.0946,         0.0947,        -0.1188,         0.2213,         0.5846
     46,         0.0213,         1.5762,         0.0953,         0.0946,         0.0947,        -0.0958,         0.2433,         0.6042
     47,         0.0214,         2.9388,         0.0953,         0.0944,         0.0946,        -0.0904,         0.2437,         0.5987
     48,         0.0215,         0.5935,         0.0953,         0.0945,         0.0947,        -0.0454,         0.2658,         0.6054
     49,         0.0178,       -13.6756,         0.0953,         0.0945,         0.0946,        -0.1413,         0.1575,         0.4892
     50,         0.0126,       -23.0289,         0.0953,         0.0945,         0.0947,        -0.2375,         0.0721,         0.4079
     51,         0.0133,       -28.3377,         0.0953,         0.0945,         0.0946,        -0.1654,         0.1404,         0.4775
     52,         0.0122,       -33.3021,         0.0953,         0.0944,         0.0946,        -0.1858,         0.1450,         0.4954
     53,         0.0140,       -36.9326,         0.0953,         0.0944,         0.0946,        -0.2313,         0.1092,         0.4625
     54,         0.0134,       -39.2653,         0.0953,         0.0945,         0.0947,        -0.1863,         0.1613,         0.5158
     55,         0.0361,       -41.0209,         0.0953,         0.0945,         0.0947,        -0.2008,         0.1271,         0.4721
     56,         0.0079,       -42.8138,         0.0953,         0.0945,         0.0947,        -0.3367,         0.0025,         0.3508
     57,         0.0075,       -44.1568,         0.0953,         0.0945,         0.0947,        -0.4925,        -0.1087,         0.2667
     58,         0.0206,       -45.3411,         0.0953,         0.0945,         0.0947,        -0.3979,         0.0142,         0.4012
     59,         0.0261,       -46.6263,         0.0953,         0.0945,         0.0947,        -0.3642,         0.0346,         0.4154
     60,         0.0106,       -47.9776,         0.0953,         0.0945,         0.0946,        -0.2996,         0.0700,         0.4337
     61,         0.0084,       -49.0363,         0.0953,         0.0945,         0.0947,        -0.4329,        -0.0483,         0.3213
     62,         0.0143,       -49.8117,         0.0953,         0.0945,         0.0947,        -0.3262,         0.0621,         0.4338
     63,         0.0201,       -50.4315,         0.0952,         0.0945,         0.0946,        -0.2604,         0.0971,         0.4508
     64,         0.0204,       -51.2531,         0.0948,         0.0944,         0.0946,        -0.2850,         0.0612,         0.4083
     65,         0.0093,       -52.0881,         0.0945,         0.0945,         0.0946,        -0.2537,         0.0858,         0.4296
