days	c10_mn	c10_sd	c15_mn	c15_sd	c25_mn	c25sd	c50_mn	c50_sd	c75_mn	c75_sd	c100_mn	c100_sd	c150_mn	c150_sd	c180_mn	c180_sd	c200_mn	c200_sd
1566	-9999	-9999	-9999	-9999	3.36	-9999	9	-9999	9.12	-9999	9.24	-9999	7.08	-9999	-9999	-9999	7.44	-9999
1626	0.6	-9999	-9999	-9999	5.88	-9999	7.92	-9999	10.2	-9999	9.24	-9999	9.36	-9999	-9999	-9999	8.52	-9999
1656	2.52	-9999	-9999	-9999	6.84	-9999	8.76	-9999	9.36	-9999	8.52	-9999	9.48	-9999	-9999	-9999	8.76	-9999
1686	-9999	-9999	-9999	-9999	3.84	-9999	7.2	-9999	4.56	-9999	9.96	-9999	4.56	-9999	-9999	-9999	7.44	-9999
1716	-9999	-9999	-9999	-9999	4.08	-9999	9.24	-9999	8.28	-9999	7.92	-9999	6.24	-9999	-9999	-9999	7.44	-9999
1991	0.84	-9999	-9999	-9999	8.76	-9999	11.88	-9999	13.2	-9999	12.96	-9999	9	-9999	-9999	-9999	11.76	-9999
2021	-9999	-9999	-9999	-9999	9.24	-9999	9.84	-9999	9.72	-9999	10.92	-9999	10.56	-9999	-9999	-9999	7.44	-9999
2051	10.2	-9999	-9999	-9999	8.52	-9999	9	-9999	10.8	-9999	10.08	-9999	10.08	-9999	-9999	-9999	8.4	-9999
2327	-9999	-9999	-9999	-9999	12.84	-9999	-9999	-9999	15	-9999	10.62	-9999	9.48	-9999	-9999	-9999	9.84	-9999
2387	6.36	-9999	-9999	-9999	6.3	-9999	8.82	-9999	9.9	-9999	9.78	-9999	8.76	-9999	-9999	-9999	8.4	-9999
2417	-9999	-9999	-9999	-9999	7.92	-9999	8.64	-9999	9.48	-9999	7.92	-9999	11.76	-9999	-9999	-9999	5.52	-9999
2722	0.6	-9999	-9999	-9999	5.16	-9999	4.86	-9999	11.28	-9999	14.04	-9999	11.34	-9999	-9999	-9999	11.34	-9999
2752	2.76	-9999	-9999	-9999	5.28	-9999	4.68	-9999	9.24	-9999	13.8	-9999	12.72	-9999	-9999	-9999	12.96	-9999
2782	27.78	-9999	-9999	-9999	22.92	-9999	10	-9999	11.84	-9999	12.06	-9999	-9999	-9999	-9999	-9999	10.68	-9999
